Chest Type,ItemStack,Item Display Name,Item ID,Weight
TinkerHouse,1xitem.tconstruct.canister@1,微型红心,TConstruct:heartCanister,1
TinkerHouse,1xitem.tconstruct.PickaxeHead@1,石镐头,TConstruct:pickaxeHead,15
TinkerHouse,1xitem.tconstruct.PickaxeHead@3,燧石镐头,TConstruct:pickaxeHead,15
TinkerHouse,1xitem.tconstruct.ShovelHead@1,石铲头,TConstruct:shovelHead,15
TinkerHouse,1xitem.tconstruct.ShovelHead@3,燧石铲头,TConstruct:shovelHead,15
TinkerHouse,1xitem.tconstruct.ShovelHead@5,骨头铲头,TConstruct:shovelHead,15
TinkerHouse,1xitem.tconstruct.AxeHead@1,石斧刃,TConstruct:hatchetHead,15
TinkerHouse,1xitem.tconstruct.AxeHead@3,燧石斧刃,TConstruct:hatchetHead,15
TinkerHouse,1xitem.tconstruct.AxeHead@5,骨头斧刃,TConstruct:hatchetHead,15
TinkerHouse,1xitem.tconstruct.Binding@0,木绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@1,石绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@2,铁绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@4,仙人掌绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@6,黑曜石绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@8,史莱姆绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@9,纸绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@13,铜绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@14,青铜绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.Binding@17,史莱姆绑定结,TConstruct:binding,15
TinkerHouse,1xitem.tconstruct.SwordBlade@1,石剑刃,TConstruct:swordBlade,15
TinkerHouse,1xitem.tconstruct.SwordBlade@2,铁剑刃,TConstruct:swordBlade,15
TinkerHouse,1xitem.tconstruct.SwordBlade@13,铜剑刃,TConstruct:swordBlade,15
TinkerHouse,1xitem.tconstruct.SwordBlade@14,青铜剑刃,TConstruct:swordBlade,15
TinkerHouse,1xitem.tconstruct.LargeGuard@1,石宽护手,TConstruct:wideGuard,15
TinkerHouse,1xitem.tconstruct.LargeGuard@2,铁宽护手,TConstruct:wideGuard,15
TinkerHouse,1xitem.tconstruct.LargeGuard@6,黑曜石宽护手,TConstruct:wideGuard,15
TinkerHouse,1xitem.tconstruct.LargeGuard@13,铜宽护手,TConstruct:wideGuard,15
TinkerHouse,1xitem.tconstruct.LargeGuard@14,青铜宽护手,TConstruct:wideGuard,15
TinkerHouse,1xitem.tconstruct.MediumGuard@1,石护手,TConstruct:handGuard,15
TinkerHouse,1xitem.tconstruct.MediumGuard@2,铁护手,TConstruct:handGuard,15
TinkerHouse,1xitem.tconstruct.MediumGuard@6,黑曜石护手,TConstruct:handGuard,15
TinkerHouse,1xitem.tconstruct.MediumGuard@13,铜护手,TConstruct:handGuard,15
TinkerHouse,1xitem.tconstruct.MediumGuard@14,青铜护手,TConstruct:handGuard,15
TinkerHouse,1xitem.tconstruct.Crossbar@0,木十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.Crossbar@1,石十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.Crossbar@2,铁十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.Crossbar@5,骨头十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.Crossbar@6,黑曜石十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.Crossbar@13,铜十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.Crossbar@14,青铜十字柄,TConstruct:crossbar,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@1,石刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@2,铁刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@3,燧石刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@4,仙人掌刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@5,骨头刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@13,铜刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.KnifeBlade@14,青铜刀刃,TConstruct:knifeBlade,15
TinkerHouse,1xitem.tconstruct.FrypanHead@1,石盘,TConstruct:frypanHead,15
TinkerHouse,1xitem.tconstruct.FrypanHead@2,铁盘,TConstruct:frypanHead,15
TinkerHouse,1xitem.tconstruct.FrypanHead@13,铜盘,TConstruct:frypanHead,15
TinkerHouse,1xitem.tconstruct.FrypanHead@14,青铜盘,TConstruct:frypanHead,15
TinkerHouse,1xitem.tconstruct.SignHead@0,木牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.SignHead@1,石牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.SignHead@2,铁牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.SignHead@6,黑曜石牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.SignHead@8,史莱姆牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.SignHead@13,铜牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.SignHead@14,青铜牌板,TConstruct:signHead,15
TinkerHouse,1xitem.tconstruct.ChiselHead@1,石凿头,TConstruct:chiselHead,15
TinkerHouse,1xitem.tconstruct.ChiselHead@2,铁凿头,TConstruct:chiselHead,15
TinkerHouse,1xitem.tconstruct.ChiselHead@13,铜凿头,TConstruct:chiselHead,15
TinkerHouse,1xitem.tconstruct.ChiselHead@14,青铜凿头,TConstruct:chiselHead,15
TinkerPatterns,1xitem.tconstruct.Pattern@1,手柄模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@2,镐头模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@3,铲头模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@4,斧刃模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@5,剑刃模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@6,宽护手模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@7,护手模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@8,十字柄模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@9,绑定结模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@10,盘模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@11,牌板模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@12,刀刃模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@13,凿头模具,TConstruct:woodPattern,20
TinkerPatterns,1xitem.tconstruct.Pattern@22,大型护手模具,TConstruct:woodPattern,40
bonusChest,1xitem.stick@0,木棍,minecraft:stick,10
bonusChest,1xtile.wood@0,橡木木板,minecraft:planks,10
bonusChest,1xtile.log@0,橡木,minecraft:log,10
bonusChest,1xitem.apple@0,苹果,minecraft:apple,5
bonusChest,1xitem.bread@0,面包,minecraft:bread,3
