Mod,ID,Name,Class Name
(global),1,Item,net.minecraft.entity.item.EntityItem
(global),2,XPOrb,net.minecraft.entity.item.EntityXPOrb
(global),3,soundEntity,crazypants.enderio.item.darksteel.SoundEntity
(global),4,rangeEntity,crazypants.enderio.machine.ranged.RangeEntity
(global),5,enderzoo.Enderminy,crazypants.enderzoo.entity.EntityEnderminy
(global),6,enderzoo.ConcussionCreeper,crazypants.enderzoo.entity.EntityConcussionCreeper
(global),7,enderzoo.FallenKnight,crazypants.enderzoo.entity.EntityFallenKnight
(global),8,LeashKnot,net.minecraft.entity.EntityLeashKnot
(global),9,Painting,net.minecraft.entity.item.EntityPainting
(global),10,Arrow,net.minecraft.entity.projectile.EntityArrow
(global),11,Snowball,net.minecraft.entity.projectile.EntitySnowball
(global),12,Fireball,net.minecraft.entity.projectile.EntityLargeFireball
(global),13,SmallFireball,net.minecraft.entity.projectile.EntitySmallFireball
(global),14,ThrownEnderpearl,net.minecraft.entity.item.EntityEnderPearl
(global),15,EyeOfEnderSignal,net.minecraft.entity.item.EntityEnderEye
(global),16,ThrownPotion,net.minecraft.entity.projectile.EntityPotion
(global),17,ThrownExpBottle,net.minecraft.entity.item.EntityExpBottle
(global),18,ItemFrame,net.minecraft.entity.item.EntityItemFrame
(global),19,WitherSkull,net.minecraft.entity.projectile.EntityWitherSkull
(global),20,PrimedTnt,net.minecraft.entity.item.EntityTNTPrimed
(global),21,FallingSand,net.minecraft.entity.item.EntityFallingBlock
(global),22,FireworksRocketEntity,net.minecraft.entity.item.EntityFireworkRocket
(global),23,enderzoo.FallenMount,crazypants.enderzoo.entity.EntityFallenMount
(global),24,enderzoo.WitherWitch,crazypants.enderzoo.entity.EntityWitherWitch
(global),25,enderzoo.WitherCat,crazypants.enderzoo.entity.EntityWitherCat
(global),26,enderzoo.DireWolf,crazypants.enderzoo.entity.EntityDireWolf
(global),27,enderzoo.DireSlime,crazypants.enderzoo.entity.EntityDireSlime
(global),28,EntityPrimedCharge,crazypants.enderzoo.charge.EntityPrimedCharge
(global),29,witherSkeleton,crazypants.enderio.entity.EntityWitherSkeleton
(global),30,Blizz,cofh.thermalfoundation.entity.monster.EntityBlizz
(global),31,Blitz,cofh.thermalfoundation.entity.monster.EntityBlitz
(global),32,Basalz,cofh.thermalfoundation.entity.monster.EntityBasalz
(global),40,MinecartCommandBlock,net.minecraft.entity.EntityMinecartCommandBlock
(global),41,Boat,net.minecraft.entity.item.EntityBoat
(global),42,MinecartRideable,net.minecraft.entity.item.EntityMinecartEmpty
(global),43,MinecartChest,net.minecraft.entity.item.EntityMinecartChest
(global),44,MinecartFurnace,net.minecraft.entity.item.EntityMinecartFurnace
(global),45,MinecartTNT,net.minecraft.entity.item.EntityMinecartTNT
(global),46,MinecartHopper,net.minecraft.entity.item.EntityMinecartHopper
(global),47,MinecartSpawner,net.minecraft.entity.ai.EntityMinecartMobSpawner
(global),48,Mob,net.minecraft.entity.EntityLiving
(global),49,Monster,net.minecraft.entity.monster.EntityMob
(global),50,Creeper,net.minecraft.entity.monster.EntityCreeper
(global),51,Skeleton,net.minecraft.entity.monster.EntitySkeleton
(global),52,Spider,net.minecraft.entity.monster.EntitySpider
(global),53,Giant,net.minecraft.entity.monster.EntityGiantZombie
(global),54,Zombie,net.minecraft.entity.monster.EntityZombie
(global),55,Slime,net.minecraft.entity.monster.EntitySlime
(global),56,Ghast,net.minecraft.entity.monster.EntityGhast
(global),57,PigZombie,net.minecraft.entity.monster.EntityPigZombie
(global),58,Enderman,net.minecraft.entity.monster.EntityEnderman
(global),59,CaveSpider,net.minecraft.entity.monster.EntityCaveSpider
(global),60,Silverfish,net.minecraft.entity.monster.EntitySilverfish
(global),61,Blaze,net.minecraft.entity.monster.EntityBlaze
(global),62,LavaSlime,net.minecraft.entity.monster.EntityMagmaCube
(global),63,EnderDragon,net.minecraft.entity.boss.EntityDragon
(global),64,WitherBoss,net.minecraft.entity.boss.EntityWither
(global),65,Bat,net.minecraft.entity.passive.EntityBat
(global),66,Witch,net.minecraft.entity.monster.EntityWitch
(global),90,Pig,net.minecraft.entity.passive.EntityPig
(global),91,Sheep,net.minecraft.entity.passive.EntitySheep
(global),92,Cow,net.minecraft.entity.passive.EntityCow
(global),93,Chicken,net.minecraft.entity.passive.EntityChicken
(global),94,Squid,net.minecraft.entity.passive.EntitySquid
(global),95,Wolf,net.minecraft.entity.passive.EntityWolf
(global),96,MushroomCow,net.minecraft.entity.passive.EntityMooshroom
(global),97,SnowMan,net.minecraft.entity.monster.EntitySnowman
(global),98,Ozelot,net.minecraft.entity.passive.EntityOcelot
(global),99,VillagerGolem,net.minecraft.entity.monster.EntityIronGolem
(global),100,EntityHorse,net.minecraft.entity.passive.EntityHorse
(global),120,Villager,net.minecraft.entity.passive.EntityVillager
(global),200,EnderCrystal,net.minecraft.entity.item.EntityEnderCrystal
Avaritia,1,Avaritia.EndestPearl,fox.spiteful.avaritia.entity.EntityEndestPearl
Avaritia,2,Avaritia.GapingVoid,fox.spiteful.avaritia.entity.EntityGapingVoid
Avaritia,3,Avaritia.HeavenArrow,fox.spiteful.avaritia.entity.EntityHeavenArrow
Avaritia,4,Avaritia.HeavenSubArrow,fox.spiteful.avaritia.entity.EntityHeavenSubArrow
BiblioCraft,0,BiblioCraft.SeatEntity,jds.bibliocraft.entity.EntitySeat
Botania,0,Botania.botania:manaBurst,vazkii.botania.common.entity.EntityManaBurst
Botania,1,Botania.botania:signalFlare,vazkii.botania.common.entity.EntitySignalFlare
Botania,2,Botania.botania:pixie,vazkii.botania.common.entity.EntityPixie
Botania,3,Botania.botania:flameRing,vazkii.botania.common.entity.EntityFlameRing
Botania,4,Botania.botania:vineBall,vazkii.botania.common.entity.EntityVineBall
Botania,5,Botania.botania:doppleganger,vazkii.botania.common.entity.EntityDoppleganger
Botania,6,Botania.botania:magicLandmine,vazkii.botania.common.entity.EntityMagicLandmine
Botania,7,Botania.botania:spark,vazkii.botania.common.entity.EntitySpark
Botania,8,Botania.botania:thrownItem,vazkii.botania.common.entity.EntityThrownItem
Botania,9,Botania.botania:magicMissile,vazkii.botania.common.entity.EntityMagicMissile
Botania,10,Botania.botania:thornChakram,vazkii.botania.common.entity.EntityThornChakram
Botania,11,Botania.botania:corporeaSpark,vazkii.botania.common.entity.EntityCorporeaSpark
Botania,12,Botania.botania:enderAirBottle,vazkii.botania.common.entity.EntityEnderAirBottle
Botania,13,Botania.botania:poolMinecart,vazkii.botania.common.entity.EntityPoolMinecart
Botania,14,Botania.botania:pinkWither,vazkii.botania.common.entity.EntityPinkWither
Botania,15,Botania.botania:playerMover,vazkii.botania.common.block.tile.TileLightRelay$EntityPlayerMover
Botania,16,Botania.botania:manaStorm,vazkii.botania.common.entity.EntityManaStorm
Botania,17,Botania.botania:babylonWeapon,vazkii.botania.common.entity.EntityBabylonWeapon
Botania,18,Botania.botania:fallingStar,vazkii.botania.common.entity.EntityFallingStar
CustomStuff3,1,CustomStuff3.cs_gravityblock,cubex2.cs3.entity.EntityCSGravityBlock
DraconicEvolution,0,DraconicEvolution.EnderDragon,com.brandon3055.draconicevolution.common.entity.EntityCustomDragon
DraconicEvolution,1,DraconicEvolution.Persistent Item,com.brandon3055.draconicevolution.common.entity.EntityPersistentItem
DraconicEvolution,2,DraconicEvolution.Arrow,com.brandon3055.draconicevolution.common.entity.EntityDraconicArrow
DraconicEvolution,3,DraconicEvolution.Ender Arrow,com.brandon3055.draconicevolution.common.entity.EntityEnderArrow
DraconicEvolution,5,DraconicEvolution.Dragon Heart Item,com.brandon3055.draconicevolution.common.entity.EntityDragonHeart
DraconicEvolution,6,DraconicEvolution.ChaosGuardian,com.brandon3055.draconicevolution.common.entity.EntityChaosGuardian
DraconicEvolution,7,DraconicEvolution.DragonProjectile,com.brandon3055.draconicevolution.common.entity.EntityDragonProjectile
DraconicEvolution,8,DraconicEvolution.ChaosCrystal,com.brandon3055.draconicevolution.common.entity.EntityChaosCrystal
DraconicEvolution,9,DraconicEvolution.ChaosBolt,com.brandon3055.draconicevolution.common.entity.EntityChaosBolt
DraconicEvolution,10,DraconicEvolution.EntityChaosEnergyVortex,com.brandon3055.draconicevolution.common.entity.EntityChaosVortex
DraconicEvolution,11,DraconicEvolution.CustomArrow,com.brandon3055.draconicevolution.common.entity.EntityCustomArrow
EnderIO,3,EnderIO.soundEntity,crazypants.enderio.item.darksteel.SoundEntity
EnderIO,4,EnderIO.rangeEntity,crazypants.enderio.machine.ranged.RangeEntity
EnderIO,29,EnderIO.witherSkeleton,crazypants.enderio.entity.EntityWitherSkeleton
EnderIO,33,EnderIO.weather_rocket,crazypants.enderio.machine.obelisk.weather.EntityWeatherRocket
EnderZoo,5,EnderZoo.enderzoo.Enderminy,crazypants.enderzoo.entity.EntityEnderminy
EnderZoo,6,EnderZoo.enderzoo.ConcussionCreeper,crazypants.enderzoo.entity.EntityConcussionCreeper
EnderZoo,7,EnderZoo.enderzoo.FallenKnight,crazypants.enderzoo.entity.EntityFallenKnight
EnderZoo,23,EnderZoo.enderzoo.FallenMount,crazypants.enderzoo.entity.EntityFallenMount
EnderZoo,24,EnderZoo.enderzoo.WitherWitch,crazypants.enderzoo.entity.EntityWitherWitch
EnderZoo,25,EnderZoo.enderzoo.WitherCat,crazypants.enderzoo.entity.EntityWitherCat
EnderZoo,26,EnderZoo.enderzoo.DireWolf,crazypants.enderzoo.entity.EntityDireWolf
EnderZoo,27,EnderZoo.enderzoo.DireSlime,crazypants.enderzoo.entity.EntityDireSlime
EnderZoo,28,EnderZoo.EntityPrimedCharge,crazypants.enderzoo.charge.EntityPrimedCharge
ImmersiveEngineering,0,ImmersiveEngineering.revolverShot,blusunrize.immersiveengineering.common.entities.EntityRevolvershot
ImmersiveEngineering,1,ImmersiveEngineering.skylineHook,blusunrize.immersiveengineering.common.entities.EntitySkylineHook
ImmersiveEngineering,2,ImmersiveEngineering.skylineCrate,blusunrize.immersiveengineering.common.entities.EntitySkycrate
ImmersiveEngineering,3,ImmersiveEngineering.revolverShotHoming,blusunrize.immersiveengineering.common.entities.EntityRevolvershotHoming
ImmersiveEngineering,4,ImmersiveEngineering.revolverShotWolfpack,blusunrize.immersiveengineering.common.entities.EntityWolfpackShot
