ID,Name,Localized Name,Temperature,Luminosity,Density,Viscosity,Placeable,Block ID,Block Class
1,water,水,300,0,1000,1000,true,minecraft:water,cofh.asmhooks.block.BlockWater
2,lava,岩浆,1300,15,3000,6000,true,minecraft:lava,net.minecraft.block.BlockStaticLiquid
3,redstone,不稳定熔融红石,300,7,1200,1500,true,ThermalFoundation:FluidRedstone,cofh.thermalfoundation.fluid.BlockFluidRedstone
4,glowstone,充能液态荧石,300,15,-500,100,true,ThermalFoundation:FluidGlowstone,cofh.thermalfoundation.fluid.BlockFluidGlowstone
5,ender,熔融末影珍珠,300,3,4000,3000,true,ThermalFoundation:FluidEnder,cofh.thermalfoundation.fluid.BlockFluidEnder
6,pyrotheum,烈焰之炽焱,4000,15,2000,1200,true,ThermalFoundation:FluidPyrotheum,cofh.thermalfoundation.fluid.BlockFluidPyrotheum
7,cryotheum,极寒之凛冰,50,0,4000,3000,true,ThermalFoundation:FluidCryotheum,cofh.thermalfoundation.fluid.BlockFluidCryotheum
8,aerotheum,和谐之空气,300,0,-800,100,true,ThermalFoundation:FluidAerotheum,cofh.thermalfoundation.fluid.BlockFluidAerotheum
9,petrotheum,构造之地岩,400,0,4000,1500,true,ThermalFoundation:FluidPetrotheum,cofh.thermalfoundation.fluid.BlockFluidPetrotheum
10,mana,元始魔力,350,15,600,6000,true,ThermalFoundation:FluidMana,cofh.thermalfoundation.fluid.BlockFluidMana
11,steam,蒸汽,673,0,-100,100,true,MineFactoryReloaded:steam.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
12,coal,液态煤炭,300,0,900,2000,true,ThermalFoundation:FluidCoal,cofh.thermalfoundation.fluid.BlockFluidCoal
13,yellorium,fluid.bigreactors.yellorium.still,295,10,100,100,true,BigReactors:tile.fluid.yellorium.still,erogenousbeef.bigreactors.common.block.BlockBRGenericFluid
14,cyanite,fluid.bigreactors.cyanite.still,295,6,100,100,true,BigReactors:tile.fluid.cyanite.still,erogenousbeef.bigreactors.common.block.BlockBRGenericFluid
15,fuelcolumn,fluid.bigreactors.fuelColumn.still,300,0,1000,1000,false,null,null
16,creosote,杂酚油,300,0,800,3000,false,null,null
17,plantoil,植物油,300,0,925,2000,false,null,null
18,ethanol,乙醇,300,0,789,1000,false,null,null
19,biodiesel,生物柴油,300,0,789,1000,false,null,null
20,milk,牛奶,300,0,1050,1050,true,MineFactoryReloaded:milk.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
21,sludge,污泥,300,0,1700,1700,true,MineFactoryReloaded:sludge.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
22,sewage,污水,300,0,1200,1200,true,MineFactoryReloaded:sewage.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
23,mobessence,精华液,310,9,400,400,true,MineFactoryReloaded:mobessence.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
24,biofuel,生物燃油,300,0,800,800,true,MineFactoryReloaded:biofuel.still,powercrystals.minefactoryreloaded.block.fluid.BlockExplodingFluid
25,meat,肉汤,300,0,2000,2000,true,MineFactoryReloaded:meat.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
26,pinkslime,粉色粘液,300,0,3000,3000,true,MineFactoryReloaded:pinkslime.still,powercrystals.minefactoryreloaded.block.fluid.BlockPinkSlimeFluid
27,chocolatemilk,巧克力牛奶,300,0,1100,1100,true,MineFactoryReloaded:chocolatemilk.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
28,mushroomsoup,蘑菇汤,300,0,1500,1500,true,MineFactoryReloaded:mushroomsoup.still,powercrystals.minefactoryreloaded.block.fluid.BlockFactoryFluid
29,slime.blue,液态蓝史莱姆,300,0,1000,1000,true,TConstruct:liquid.slime,tconstruct.blocks.slime.SlimeFluid
30,iron.molten,熔融铁,1300,12,3000,6000,true,TConstruct:fluid.molten.iron,tconstruct.smeltery.blocks.TConstructFluid
31,gold.molten,熔融金,1300,12,3000,6000,true,TConstruct:fluid.molten.gold,tconstruct.smeltery.blocks.TConstructFluid
32,copper.molten,熔融铜,1300,12,3000,6000,true,TConstruct:fluid.molten.copper,tconstruct.smeltery.blocks.TConstructFluid
33,tin.molten,熔融锡,1300,12,3000,6000,true,TConstruct:fluid.molten.tin,tconstruct.smeltery.blocks.TConstructFluid
34,aluminum.molten,熔融铝,1300,12,3000,6000,true,TConstruct:fluid.molten.aluminum,tconstruct.smeltery.blocks.TConstructFluid
35,cobalt.molten,熔融钴,1300,12,3000,6000,true,TConstruct:fluid.molten.cobalt,tconstruct.smeltery.blocks.TConstructFluid
36,ardite.molten,熔融阿迪特,1300,12,3000,6000,true,TConstruct:fluid.molten.ardite,tconstruct.smeltery.blocks.TConstructFluid
37,bronze.molten,熔融青铜,1300,12,3000,6000,true,TConstruct:fluid.molten.bronze,tconstruct.smeltery.blocks.TConstructFluid
38,aluminumbrass.molten,熔融铝黄铜,1300,12,3000,6000,true,TConstruct:fluid.molten.alubrass,tconstruct.smeltery.blocks.TConstructFluid
39,manyullyn.molten,熔融玛玉灵,1300,12,3000,6000,true,TConstruct:fluid.molten.manyullyn,tconstruct.smeltery.blocks.TConstructFluid
40,alumite.molten,熔融耐酸铝,1300,12,3000,6000,true,TConstruct:fluid.molten.alumite,tconstruct.smeltery.blocks.TConstructFluid
41,obsidian.molten,熔融黑曜石,1300,12,3000,6000,true,TConstruct:fluid.molten.obsidian,tconstruct.smeltery.blocks.TConstructFluid
42,steel.molten,熔融钢,1300,12,3000,6000,true,TConstruct:fluid.molten.steel,tconstruct.smeltery.blocks.TConstructFluid
43,glass.molten,熔融玻璃,1300,12,3000,6000,true,TConstruct:fluid.molten.glass,tconstruct.smeltery.blocks.TConstructFluid
44,stone.seared,熔融石头,1300,12,3000,6000,true,TConstruct:molten.stone,tconstruct.smeltery.blocks.TConstructFluid
45,emerald.liquid,熔融绿宝石,1300,12,3000,6000,true,TConstruct:molten.emerald,tconstruct.smeltery.blocks.TConstructFluid
46,quartz.molten,熔融下界石英,1300,12,3000,6000,true,TConstruct:molten.quartz,tconstruct.smeltery.blocks.TConstructFluid
47,nickel.molten,熔融镍,1300,12,3000,6000,true,TConstruct:fluid.molten.nickel,tconstruct.smeltery.blocks.TConstructFluid
48,lead.molten,熔融铅,1300,12,3000,6000,true,TConstruct:fluid.molten.lead,tconstruct.smeltery.blocks.TConstructFluid
49,silver.molten,熔融银,1300,12,3000,6000,true,TConstruct:fluid.molten.silver,tconstruct.smeltery.blocks.TConstructFluid
50,platinum.molten,熔融铂金,1300,12,3000,6000,true,TConstruct:fluid.molten.shiny,tconstruct.smeltery.blocks.TConstructFluid
51,invar.molten,熔融殷钢,1300,12,3000,6000,true,TConstruct:fluid.molten.invar,tconstruct.smeltery.blocks.TConstructFluid
52,electrum.molten,熔融琥珀金,1300,12,3000,6000,true,TConstruct:fluid.molten.electrum,tconstruct.smeltery.blocks.TConstructFluid
53,lumium.molten,熔融流明,1300,12,3000,6000,true,TConstruct:fluid.molten.lumium,tconstruct.smeltery.blocks.TConstructFluid
54,signalum.molten,熔融信素,1300,12,3000,6000,true,TConstruct:fluid.molten.signalum,tconstruct.smeltery.blocks.TConstructFluid
55,mithril.molten,熔融蕴魔金属,1300,12,3000,6000,true,TConstruct:fluid.molten.mithril,tconstruct.smeltery.blocks.TConstructFluid
56,enderium.molten,熔融末影,1300,12,3000,6000,true,TConstruct:fluid.molten.enderium,tconstruct.smeltery.blocks.TConstructFluid
57,blood,血,1300,0,3000,6000,true,TConstruct:liquid.blood,tconstruct.smeltery.blocks.BloodBlock
58,glue,凝胶,200,0,6000,6000,true,TConstruct:liquid.glue,tconstruct.smeltery.blocks.GlueFluid
59,pigiron.molten,生铁,1300,0,3000,6000,true,TConstruct:fluid.molten.pigiron,tconstruct.smeltery.blocks.PigIronMoltenBlock
60,nutrient_distillation,营养精华液,300,0,1500,3000,true,EnderIO:blockNutrient_distillation,crazypants.enderio.fluid.BlockFluidEio
61,hootch,烈酒,300,0,900,1000,true,EnderIO:blockHootch,crazypants.enderio.fluid.BlockFluidEio
62,rocket_fuel,火箭燃料,300,0,900,1000,true,EnderIO:blockRocket_fuel,crazypants.enderio.fluid.BlockFluidEio
63,fire_water,火焰水,2600,0,900,1000,true,EnderIO:blockFire_water,crazypants.enderio.fluid.BlockFluidEio
64,liquid_sunshine,液态阳光,300,0,200,400,true,EnderIO:blockLiquid_sunshine,crazypants.enderio.fluid.BlockFluidEio
65,cloud_seed,云之精华,300,0,500,800,true,EnderIO:blockCloud_seed,crazypants.enderio.fluid.BlockFluidEio
66,cloud_seed_concentrated,浓缩云之精华,300,0,1000,1200,true,EnderIO:blockCloud_seed_concentrated,crazypants.enderio.fluid.BlockFluidEio
67,ender_distillation,深渊露水,175,0,200,1000,true,EnderIO:blockEnder_distillation,crazypants.enderio.fluid.BlockFluidEio
68,vapor_of_levity,轻盈之气,5,0,-10,100,true,EnderIO:blockVapor_of_levity,crazypants.enderio.fluid.BlockFluidEio
69,brine1,淡盐水,300,0,1250,3000,true,EnderIOAddons:blockBrine1,loenwind.enderioaddons.baseclass.BlockFluidEioA
70,brine2,盐水,300,0,1500,5000,true,EnderIOAddons:blockBrine2,loenwind.enderioaddons.baseclass.BlockFluidEioA
71,brine3,浓盐水,300,0,1750,7000,true,EnderIOAddons:blockBrine3,loenwind.enderioaddons.baseclass.BlockFluidEioA
72,brine4,固态盐水,300,0,2000,9000,true,EnderIOAddons:blockBrine4,loenwind.enderioaddons.baseclass.BlockFluidEioA
73,witchwater,巫水,300,0,1000,1000,true,exnihilo:witchwater,exnihilo.fluids.BlockWitchWater
74,pokefennium.molten,熔融铁血,1300,15,3000,6000,true,ExtraTiC:moltenPokefennium,glassmaker.extratic.metals.MoltenMetalBlock
75,fairy.molten,熔融精灵,1300,15,3000,6000,true,ExtraTiC:moltenFairy,glassmaker.extratic.metals.MoltenMetalBlock
