Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
adamantine.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@12,桶装熔融金刚,ExtraTiC:extra.bucket
aerotheum,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@7,和谐之空气桶,ThermalFoundation:bucket
aluminum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@4,熔融铝黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
aluminum.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@4,熔融铝桶,TConstruct:buckets
aluminumbrass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@8,熔融黄铜黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
aluminumbrass.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@8,熔融铝黄铜桶,TConstruct:buckets
alumite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@10,熔融耐酸铝黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
alumite.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@10,熔融耐酸铝桶,TConstruct:buckets
ardite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@6,熔融阿迪特黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
ardite.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@6,熔融阿迪特桶,TConstruct:buckets
bedrockium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@19,桶装熔融基岩,ExtraTiC:extra.bucket
biodiesel,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.ImmersiveEngineering.fluidContainers@7,生物柴油桶,ImmersiveEngineering:fluidContainers
biodiesel,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.ImmersiveEngineering.fluidContainers@6,生物柴油瓶,ImmersiveEngineering:fluidContainers
biofuel,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.biofuel@0,生物燃油桶,MineFactoryReloaded:bucket.biofuel
blood,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@16,血黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
blood,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@16,血桶,TConstruct:buckets
blutonium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@17,桶装熔融蓝钚,ExtraTiC:extra.bucket
brass.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@11,桶装熔融黄铜,ExtraTiC:extra.bucket
brine1,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketBrine1@0,淡盐水桶,EnderIOAddons:bucketBrine1
brine2,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketBrine2@0,盐水桶,EnderIOAddons:bucketBrine2
brine3,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketBrine3@0,浓盐水桶,EnderIOAddons:bucketBrine3
brine4,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketBrine4@0,固态盐水桶,EnderIOAddons:bucketBrine4
bronze.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@7,熔融青铜黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
bronze.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@7,熔融青铜桶,TConstruct:buckets
chocolatemilk,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.chocolatemilk@0,巧克力牛奶桶,MineFactoryReloaded:bucket.chocolatemilk
cloud_seed,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketCloud_seed@0,云之精华桶,EnderIO:bucketCloud_seed
cloud_seed_concentrated,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketCloud_seed_concentrated@0,浓缩云之精华桶,EnderIO:bucketCloud_seed_concentrated
coal,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@6,液态煤炭桶,ThermalFoundation:bucket
cobalt.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@5,熔融钴黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
cobalt.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@5,熔融钴桶,TConstruct:buckets
copper.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@2,熔融铜黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
copper.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@2,熔融铜桶,TConstruct:buckets
creosote,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.ImmersiveEngineering.fluidContainers@1,杂酚油桶,ImmersiveEngineering:fluidContainers
creosote,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.ImmersiveEngineering.fluidContainers@0,杂酚油瓶,ImmersiveEngineering:fluidContainers
