Slot,Display Name,Amount,Damage,Max Damage,Item ID,Unlocalized Name,Item Class,NBT
0,黄铀燃料棒,1,0,0,BigReactors:YelloriumFuelRod,tile.yelloriumFuelRod,net.minecraft.item.ItemBlock,
1,反应堆控制杆,1,2,0,BigReactors:BRReactorPart,tile.blockReactorPart.2,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
2,任务书,1,0,0,questbook:ItemQuestBook,item.ItemQuestBook,drethic.questbook.item.ItemQuestBook,
3,任务手册,1,0,0,HardcoreQuesting:quest_book,item.hqm:quest_book_0,hardcorequesting.items.ItemQuestBook,
4,默认加载方块,1,0,0,cb4bq:BlockDLB,tile.CB4BQ.DLB,net.minecraft.item.ItemBlock,
9,草地菜园,1,0,0,harvestcraft:grassgarden,tile.grassgarden,com.pam.harvestcraft.ItemPamGarden,
10,肉丸意大利面,3,0,0,harvestcraft:spagettiandmeatballsItem,item.spagettiandmeatballsItem,net.minecraft.item.ItemFood,
11,蓝晶再加工机,1,0,0,BigReactors:BRDevice,tile.blockBRDevice.0,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
12,高压流体箱,1,1,0,EnderIO:blockTank,tile.blockTank.advanced,crazypants.enderio.machine.tank.BlockItemTank,
13,卓越火炬,1,0,0,ExtraUtilities:magnumTorch,tile.extrautils:magnumTorch,com.rwtema.extrautils.multipart.ItemBlockMultiPartMagnumTorch,
14,黑麦,2,0,0,harvestcraft:ryeItem,item.ryeItem,com.pam.harvestcraft.ItemPamSeedFood,
15,自动工具台,1,0,0,TiConAutoToolStation:ats_autotoolstation,tile.ats_autotoolstation,net.minecraft.item.ItemBlock,
16,匠魂宝典 I,1,0,0,TConstruct:manualBook,item.tconstruct.manual.beginner,tconstruct.tools.items.Manual,
17,用开放式方块主宰世界,1,0,0,OpenBlocks:infoBook,item.openblocks.info_book,openblocks.common.item.ItemInfoBook,
18,谐振电容库,2,3,0,EnderIO:blockCapBank,tile.blockCapBank.vibrant,crazypants.enderio.machine.capbank.BlockItemCapBank,"{type:""VIBRANT"",storedEnergyRF:25000000}"
19,反应堆能量接口,1,3,0,BigReactors:BRReactorPart,tile.blockReactorPart.3,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
20,反应堆访问端口,1,4,0,BigReactors:BRReactorPart,tile.blockReactorPart.4,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
21,反应堆控制器,1,1,0,BigReactors:BRReactorPart,tile.blockReactorPart.1,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
22,反应堆玻璃,1,0,0,BigReactors:BRMultiblockGlass,tile.brMultiblockGlass.0,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
23,反应堆外壳,1,0,0,BigReactors:BRReactorPart,tile.blockReactorPart.0,erogenousbeef.bigreactors.common.item.ItemBlockBigReactors,
24,谐振电容库,1,3,0,EnderIO:blockCapBank,tile.blockCapBank.vibrant,crazypants.enderio.machine.capbank.BlockItemCapBank,"{type:""VIBRANT"",storedEnergyRF:0}"
25,拉杆,1,0,0,minecraft:lever,tile.lever,net.minecraft.item.ItemBlock,
26,红色合金丝,1,0,0,ProjRed|Transmission:projectred.transmission.wire,item.projectred.transmission.wire|0,mrtjp.projectred.transmission.ItemPartWire,
27,花生酱饼干,5,0,0,harvestcraft:peanutbuttercookiesItem,item.peanutbuttercookiesItem,net.minecraft.item.ItemFood,
28,橡树树苗,1,0,0,minecraft:sapling,tile.sapling.oak,net.minecraft.item.ItemMultiTexture,
29,圆石,1,0,0,minecraft:cobblestone,tile.stonebrick,net.minecraft.item.ItemBlock,
30,谐振熔融末影珍珠,1,0,0,ThermalFoundation:FluidEnder,tile.thermalfoundation.fluid.ender,net.minecraft.item.ItemBlock,
31,钻石建筑之杖,1,0,10000,betterbuilderswands:wandDiamond,item.betterbuilderswands:wandUnrestricted,portablejim.bbw.core.items.ItemUnrestrictedWand,"{bbw:{mask:7s,lastDamage:2,lastPlaced:[-770,7,257,],lastBlock:""BigReactors:BRReactorPart"",lastPerBlock:1,fluidmask:1s}}"
32,液态黄铀桶,1,0,0,BigReactors:bucketYellorium,item.bucket.yellorium,erogenousbeef.bigreactors.common.item.ItemBRBucket,
33,蔬菜沙拉,4,0,0,harvestcraft:springsaladItem,item.springsaladItem,net.minecraft.item.ItemFood,
34,压缩箱子,1,0,0,avaritiaddons:CompressedChest,tile.CompressedChest,wanion.avaritiaddons.block.chest.ItemBlockAvaritiaddonsChest,
35,合成站,1,0,0,TConstruct:CraftingSlab,tile.CraftingStation,tconstruct.tools.itemblocks.CraftingSlabItemBlock,
