ID,Name,Version,Custom Container,Disableable,Dependencies
mcp,Minecraft Coder Pack,9.05,true,YES,[]
FML,Forge Mod Loader,7.10.99.99,true,NEVER,[]
Forge,Minecraft Forge,10.13.4.1614,true,NEVER,[]
appliedenergistics2-core,Applied Energistics 2 Core,rv3-beta-1053-GTNH,true,NEVER,[]
CodeChickenCore,CodeChicken Core,1.4.19,true,NEVER,[]
NotEnoughItems,NotEnoughItems,2.8.130-GTNH,true,NEVER,"[CodeChickenCore@[1.4.17,), gtnhlib@[0.9.6,)]"
chunkapicore,ChunkAPI Core,0.8.4,true,NEVER,[]
endlessids_biome,EndlessIDs Biome Module,1.7.4,true,NEVER,[]
endlessids_blockitem,EndlessIDs BlockItem Module,1.7.4,true,NEVER,[]
endlessids_datawatcher,EndlessIDs DataWatcher Module,1.7.4,true,NEVER,[]
endlessids_enchantment,EndlessIDs Enchantment Module,1.7.4,true,NEVER,[]
endlessids_potion,EndlessIDs Potion Module,1.7.4,true,NEVER,[]
GTNHLib Core,GTNHLib Core,0.11.46,true,NEVER,[]
OpenModsCore,OpenModsCore,0.10.14,true,NEVER,[]
<CoFH ASM>,CoFH ASM,000,true,NEVER,[]
txloader,TX Loader,1.9,true,NEVER,[]
unimixins,UniMixins,0.3.1,false,DEPENDENCIES,[]
unimixins-mixin,UniMixins: Mixin (UniMix),0.3.1,false,RESTART,[]
unimixins-compat,UniMixins: Compatibility,0.3.1,false,RESTART,[]
mixingasm,UniMixins: Mixingasm,0.3,false,RESTART,[]
spongemixins,UniMixins: SpongeMixins,2.0.1,false,RESTART,[]
mixinbooterlegacy,UniMixins: MixinBooterLegacy,1.2.1,false,RESTART,[]
gtnhmixins,UniMixins: GTNHMixins,2.2.0,false,DEPENDENCIES,[]
mixinextras,UniMixins: MixinExtras,0.3.1,false,RESTART,[]
gtnhlib,GTNH Lib,0.11.46,false,DEPENDENCIES,[]
appliedenergistics2,Applied Energistics 2,rv3-beta-1053-GTNH,false,DEPENDENCIES,"[appliedenergistics2-core, Forge@[10.13.4.1614,), gtnhlib@[0.11.14,)]"
ae2wct,AE2 Wireless Crafting Terminal,1.12.16,false,RESTART,"[Forge@[10.13.4.1614,), appliedenergistics2@[rv3-beta-754,), NotEnoughItems]"
ae2fc,AE2 Fluid Crafting,1.5.107-gtnh,false,RESTART,"[appliedenergistics2@[rv3-beta-238,), waila, thaumicenergistics, ae2wct]"
bdlib,BD lib,1.11.0-GTNH,false,DEPENDENCIES,[]
ae2stuff,AE2 Stuff,0.10.20-GTNH,false,RESTART,"[appliedenergistics2, bdlib@[1.9.4.109,), gtnhlib@[0.6.5,)]"
AppleCore,AppleCore,3.3.12,false,DEPENDENCIES,[]
chunkapi,ChunkAPI,0.8.4,false,DEPENDENCIES,[]
archaicfix,ArchaicFix,0.8.0,false,RESTART,"[gtnhmixins@[2.0.0,), unimixins@[0.1.16,), chunkapi]"
Baubles,Baubles,2.2.22-GTNH,false,DEPENDENCIES,[]
Botania,Botania,1.13.34-GTNH,false,RESTART,"[Baubles, Thaumcraft, gtnhlib@[0.5.22,)]"
Avaritia,Avaritia,1.99,false,DEPENDENCIES,"[Thaumcraft, AWWayofTime, Botania]"
wanionlib,WanionLib,1.10.1,false,DEPENDENCIES,[]
avaritiaddons,Avaritiaddons,1.9.6-GTNH,false,RESTART,"[Avaritia, wanionlib@[1.7.10-1.2,)]"
Backpack,Backpack Edited for ModdedNetwork,2.6.17-GTNH,false,RESTART,[]
Baubles|Expanded,Baubles Expanded,2.2.22-GTNH,false,RESTART,[]
BetterAchievements,Better Achievements,0.3.3,false,RESTART,[]
betterbuilderswands,BetterBuildersWands,0.13.12-GTNH,false,RESTART,[]
bettercrashes,BetterCrashes,1.4.7-GTNH,false,RESTART,[]
forgelin,Forgelin,2.0.3-GTNH,false,DEPENDENCIES,[]
betterp2p,BetterP2P,1.4.7,false,RESTART,"[appliedenergistics2@[rv3-beta-238,), forgelin]"
betterquesting,BetterQuesting,3.8.84-GTNH,false,DEPENDENCIES,"[gtnhlib@[0.10.7,)]"
bq_standard,Standard Expansion,3.8.84-GTNH,false,RESTART,[betterquesting]
questbook,BetterQuesting,3.8.84-GTNH,false,RESTART,[betterquesting]
cb4bq,Command Blocks for Better Questing,3.8.84-GTNH,false,RESTART,[betterquesting]
BiblioCraft,BiblioCraft,1.11.7,false,RESTART,[]
CoFHCore,CoFH Core,1.7.10R3.1.4,false,DEPENDENCIES,"[Forge@[10.13.4.1448,10.14)]"
ThermalFoundation,Thermal Foundation,1.7.10R1.2.6,false,DEPENDENCIES,"[CoFHCore@[1.7.10R3.1.4,1.7.10R3.2.0)]"
ThermalExpansion,Thermal Expansion,1.7.10R4.1.5,false,RESTART,"[CoFHCore@[1.7.10R3.1.4,1.7.10R3.2.0), ThermalFoundation@[1.7.10R1.2.6,1.7.10R1.3.0)]"
BigReactors,Big Reactors,0.4.3A,false,RESTART,"[Forge@[10.13.2.1291,), CoFHCore, ThermalExpansion]"
structurelib,StructureLib,1.4.42,false,DEPENDENCIES,[]
blockrenderer6343,BlockRenderer6343,1.4.21,false,RESTART,"[NotEnoughItems, structurelib, gtnhlib]"
hodgepodge,Hodgepodge,2.7.197,false,RESTART,"[gtnhmixins@[2.0.1,), unimixins@[0.0.20,), gtnhlib@[0.9.41,)]"
modularui2,Modular UI 2,2.3.88-1.7.10,false,DEPENDENCIES,"[gtnhmixins@[2.0.1,), gtnhlib@[0.2.0,), NotEnoughItems@[2.3.27-GTNH,), hodgepodge@[2.0.0,)]"
