Ore Name,ItemStack,Item ID,Display Name,Wildcard
Gear,1xitem.thermalfoundation.material@12,ThermalFoundation:material,铁齿轮,false
Gear,1xitem.thermalfoundation.material@13,ThermalFoundation:material,金齿轮,false
Gear,1xitem.thermalfoundation.material@128,ThermalFoundation:material,铜齿轮,false
Gear,1xitem.thermalfoundation.material@129,ThermalFoundation:material,锡齿轮,false
Gear,1xitem.thermalfoundation.material@130,ThermalFoundation:material,银齿轮,false
Gear,1xitem.thermalfoundation.material@131,ThermalFoundation:material,铅齿轮,false
Gear,1xitem.thermalfoundation.material@132,ThermalFoundation:material,镍齿轮,false
Gear,1xitem.thermalfoundation.material@133,ThermalFoundation:material,铂齿轮,false
Gear,1xitem.thermalfoundation.material@134,ThermalFoundation:material,蕴魔秘银齿轮,false
Gear,1xitem.thermalfoundation.material@135,ThermalFoundation:material,琥珀金齿轮,false
Gear,1xitem.thermalfoundation.material@136,ThermalFoundation:material,因瓦合金齿轮,false
Gear,1xitem.thermalfoundation.material@137,ThermalFoundation:material,青铜齿轮,false
Gear,1xitem.thermalfoundation.material@138,ThermalFoundation:material,信素齿轮,false
Gear,1xitem.thermalfoundation.material@139,ThermalFoundation:material,流明齿轮,false
Gear,1xitem.thermalfoundation.material@140,ThermalFoundation:material,末影齿轮,false
Gear,1xitem.TiGear@0,DegeneratorCrystal:TiGear,钛齿轮,false
ItemFluxCryStal,1xitem.appliedenergistics2.ItemMaterial@7,appliedenergistics2:item.ItemMultiMaterial,福鲁伊克斯水晶,false
ItemFluxCryStal,1xitem.appliedenergistics2.ItemMaterial@12,appliedenergistics2:item.ItemMultiMaterial,高纯福鲁伊克斯水晶,false
MainInfusionMaterial,1xitem.diamond@0,minecraft:diamond,钻石,false
MainInfusionMaterial,1xitem.emerald@0,minecraft:emerald,绿宝石,false
MainInfusionMaterial,1xtile.blockGold@0,minecraft:gold_block,金块,false
RedLogic:insulated_wire,1xtile.null@1,RedLogic:redlogic.wire,White insulated wire,false
RedLogic:insulated_wire,1xtile.null@2,RedLogic:redlogic.wire,Orange insulated wire,false
RedLogic:insulated_wire,1xtile.null@3,RedLogic:redlogic.wire,Magenta insulated wire,false
RedLogic:insulated_wire,1xtile.null@4,RedLogic:redlogic.wire,Light blue insulated wire,false
RedLogic:insulated_wire,1xtile.null@5,RedLogic:redlogic.wire,Yellow insulated wire,false
RedLogic:insulated_wire,1xtile.null@6,RedLogic:redlogic.wire,Lime insulated wire,false
RedLogic:insulated_wire,1xtile.null@7,RedLogic:redlogic.wire,Pink insulated wire,false
RedLogic:insulated_wire,1xtile.null@8,RedLogic:redlogic.wire,Grey insulated wire,false
RedLogic:insulated_wire,1xtile.null@9,RedLogic:redlogic.wire,Light grey insulated wire,false
RedLogic:insulated_wire,1xtile.null@10,RedLogic:redlogic.wire,Cyan insulated wire,false
RedLogic:insulated_wire,1xtile.null@11,RedLogic:redlogic.wire,Purple insulated wire,false
RedLogic:insulated_wire,1xtile.null@12,RedLogic:redlogic.wire,Blue insulated wire,false
RedLogic:insulated_wire,1xtile.null@13,RedLogic:redlogic.wire,Brown insulated wire,false
RedLogic:insulated_wire,1xtile.null@14,RedLogic:redlogic.wire,Green insulated wire,false
RedLogic:insulated_wire,1xtile.null@15,RedLogic:redlogic.wire,Red insulated wire,false
RedLogic:insulated_wire,1xtile.null@16,RedLogic:redlogic.wire,Black insulated wire,false
accioMaterial,1xitem.RubberEssence@0,magicalcrops:RubberEssence,橡胶原质,false
accioMaterial,1xitem.AirEssence@0,magicalcrops:AirEssence,风之原质,false
accioMaterial,1xitem.CoalEssence@0,magicalcrops:CoalEssence,煤炭原质,false
accioMaterial,1xitem.DyeEssence@0,magicalcrops:DyeEssence,染料原质,false
accioMaterial,1xitem.EarthEssence@0,magicalcrops:EarthEssence,地之原质,false
accioMaterial,1xitem.FireEssence@0,magicalcrops:FireEssence,火之原质,false
accioMaterial,1xitem.NatureEssence@0,magicalcrops:NatureEssence,自然原质,false
accioMaterial,1xitem.WaterEssence@0,magicalcrops:WaterEssence,水之原质,false
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,耐酸铝手柄,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,纯色方块,false
anyCertusCrystal,1xitem.appliedenergistics2.ItemMaterial@10,appliedenergistics2:item.ItemMultiMaterial,高纯赛特斯石英水晶,false
anyCertusCrystal,1xitem.appliedenergistics2.ItemMaterial@0,appliedenergistics2:item.ItemMultiMaterial,赛特斯石英水晶,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,阿迪特手柄,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,瓶装末地空气,false
bFlask,1xitem.vial@1,Botania:vial,精灵玻璃烧瓶,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,合成占位符,false
bRedString,1xitem.manaResource@12,Botania:manaResource,红线,false
