Class Name,Type
codechicken.nei.recipe.ShapedRecipeHandler,crafting
codechicken.nei.recipe.ShapelessRecipeHandler,crafting
codechicken.nei.recipe.FireworkRecipeHandler,crafting
codechicken.nei.recipe.FurnaceRecipeHandler,crafting
codechicken.nei.recipe.BrewingRecipeHandler,crafting
codechicken.nei.recipe.FuelRecipeHandler,crafting
codechicken.nei.recipe.InformationHandler,crafting
codechicken.nei.recipe.RepairRecipeHandler,crafting
codechicken.nei.recipe.ProfilerRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIAEShapedRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIAEShapelessRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIInscriberRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIWorldCraftingHandler,crafting
appeng.integration.modules.NEIHelpers.NEIGrinderRecipeHandler,crafting
appeng.integration.modules.NEIHelpers.NEIFacadeRecipeHandler,crafting
net.p455w0rd.wirelesscraftingterminal.integration.modules.NEIHelpers.NEIAEShapedRecipeHandler,crafting
extracells.integration.nei.UniversalTerminalRecipe,crafting
gcewing.projectblue.nei.NEIRecipeHandler,crafting
com.github.dcysteine.neicustomdiagram.api.diagram.CustomDiagramGroup,crafting
com.github.dcysteine.neicustomdiagram.api.diagram.CustomDiagramGroup,crafting
com.github.dcysteine.neicustomdiagram.api.diagram.DiagramGroup,crafting
loenwind.enderioaddons.nei.TeaserRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingMachine,crafting
bq_standard.integration.nei.QuestRecipeHandler,crafting
com.pam.harvestcraft.AnimalTrapRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingUpgrade,crafting
loenwind.enderioaddons.nei.MagChargerRecipeHandler,crafting
com.pam.harvestcraft.FishTrapRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingSecure,crafting
com.pam.harvestcraft.GardenRecipeHandler,crafting
fox.spiteful.avaritia.compat.nei.ExtremeShapedRecipeHandler,crafting
fox.spiteful.avaritia.compat.nei.ExtremeShapelessRecipeHandler,crafting
fox.spiteful.avaritia.compat.nei.CompressionHandler,crafting
com.kuba6000.mobsinfo.nei.MobHandler,crafting
com.kuba6000.mobsinfo.nei.VillagerTradesHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerFurnace,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerPulverizer,crafting
com.brandon3055.draconicevolution.integration.nei.ReactorNEIHandler,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerFloatingFlowers,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerSawmill,crafting
